ENST00000632218.1	ELK2AP
ENST00000602519.1	ACD
ENST00000556814.5	FCF1
ENST00000639049.1	EPM2A
ENST00000370648.3	BRS3
ENST00000550714.5	SLC11A2
ENST00000463051.5	SMIM7
ENST00000506879.5	FAM193B
ENST00000638353.1	PIGT
ENST00000411559.1	UBE2V1P11
ENST00000574367.5	ANKFY1
ENST00000579151.1	PIEZO2
ENST00000428609.6	ITGB6
ENST00000396856.5	GAPDH
ENST00000423761.1	TMPRSS6
ENST00000349139.5	WDR3
ENST00000521700.5	TRAPPC9
ENST00000509233.5	SPON2
ENST00000507218.5	ZNF131
ENST00000638991.1	KCNMA1
ENST00000365474.1	RN7SKP208
ENST00000484077.1	RIF1
ENST00000639345.1	C4orf50
ENST00000531641.1	EMSY
ENST00000293771.9	ZNF653
ENST00000550188.1	ARFGAP1
ENST00000515220.5	SPATS1
ENST00000541199.5	ADGRG6
ENST00000380656.6	TTC8
ENST00000453010.1	FAM225A
ENST00000492285.6	GYG1
ENST00000613520.1	MIR6504
ENST00000546766.5	SLC25A3
ENST00000430292.5	PIGV
ENST00000565287.5	CARHSP1
ENST00000392109.5	BCS1L
ENST00000366513.8	CNST
ENST00000637273.1	PLCB1
ENST00000405271.5	EPCAM
ENST00000633945.1	ARHGAP27
ENST00000533874.1	DPYS
ENST00000298573.8	DUSP16
ENST00000461904.1	GTF2F2
ENST00000444142.1	KCNJ13
ENST00000359570.9	INPP5D
ENST00000471647.1	RPS12P21
ENST00000481280.1	CCHCR1
ENST00000564649.1	TMEM208
ENST00000551749.5	RPL18
ENST00000474333.5	SERP2
ENST00000579076.1	GDPD1
ENST00000578522.5	SLC16A3
ENST00000463452.6	PGAP2
ENST00000562804.5	ADGRG1
ENST00000561493.5	SQRDL
ENST00000616101.4	TBC1D3D
ENST00000453769.1	CRYBA2
ENST00000586173.1	POP4
ENST00000544550.5	SNHG1
ENST00000477325.1	RPSA
ENST00000438144.6	ZNF143
ENST00000361673.3	ALPK2
ENST00000638005.1	CACNB4
ENST00000456421.5	AGPAT1
ENST00000546746.5	C4A
ENST00000625463.1	CHD2
ENST00000480086.2	CRB1
ENST00000544194.5	NAA40
ENST00000423318.1	LINC01968
ENST00000474188.1	NISCH
ENST00000382751.3	URB1
ENST00000467112.5	RRP1
ENST00000522892.1	CYFIP2
ENST00000464384.2	MPP6
ENST00000530081.1	PPFIBP2
ENST00000477905.1	LRRC42
ENST00000473542.1	BBX
ENST00000622596.4	LILRB5
ENST00000601117.1	BNIP3P38
ENST00000380902.8	SLC27A2
ENST00000419977.4	PRIM2
ENST00000491021.1	POLDIP3
ENST00000559417.1	PCSK6
ENST00000514903.7	BDP1
ENST00000533788.1	NPEPL1
ENST00000620164.4	DAXX
ENST00000612783.1	KIR2DS4
ENST00000274532.6	TIMD4
ENST00000367840.3	DCAF6
ENST00000578554.1	ARSG
ENST00000526986.5	ZDHHC24
ENST00000506547.5	PRDM8
ENST00000443571.6	GSTK1
ENST00000535240.1	KCNJ2
ENST00000471979.6	PACRGL
ENST00000570904.5	LITAF
ENST00000616997.1	ZNF280B
ENST00000470028.1	FANCD2
ENST00000383571.6	NRM
ENST00000432035.2	C3orf84
ENST00000538892.5	FBXL2
ENST00000383374.6	CCDC125
ENST00000520516.1	MTCO1P4
ENST00000633547.1	TPTE2P5
ENST00000469973.1	GUK1
ENST00000567598.1	HEXA-AS1
ENST00000547605.5	RBFOX1
ENST00000253462.7	GINS2
ENST00000587259.5	VMP1
ENST00000397545.8	CCDC40
ENST00000455151.1	C6orf47-AS1
ENST00000406985.2	MTATP6P31
ENST00000383626.6	HLA-F
ENST00000373955.5	PCDH15
ENST00000590288.1	RHBDF2
ENST00000289528.9	ZFAND2B
ENST00000430469.6	PDHX
ENST00000593369.5	RNASEH2B-AS1
ENST00000490813.5	CEP170
ENST00000481027.5	LRRC75A-AS1
ENST00000523590.5	EXO1
ENST00000561243.5	ACAN
ENST00000512469.2	GLRX
ENST00000485980.1	PLXNB3
ENST00000434269.1	ZNF702P
ENST00000446746.5	BDH1
ENST00000561752.1	PPP1R1AP2
ENST00000264977.7	PPP2R3A
ENST00000510485.2	UGT2A3P7
ENST00000541372.1	SLC3A2
ENST00000580235.5	HEXDC
ENST00000508753.5	PACRGL
ENST00000639691.1	KCNMA1
ENST00000417345.2	CNTFR
ENST00000481737.1	FAM72A
ENST00000304858.6	HSPA4
ENST00000473479.5	SEPT2
ENST00000302014.10	CD14
ENST00000491100.5	GNAI2
ENST00000394449.6	TBC1D22A
ENST00000622524.4	TSEN34
ENST00000428668.2	OTUD5
ENST00000507401.2	SCN1A
ENST00000484149.1	HLA-DOA
ENST00000460295.1	MYD88
ENST00000496703.1	ITGB5
ENST00000593878.5	SLC8A1-AS1
ENST00000507152.5	APELA
ENST00000547672.5	PTCH1
ENST00000536661.1	UBC
ENST00000420521.1	PAIP1P1
ENST00000562121.1	BFAR
ENST00000493833.1	PPP1R18
ENST00000632595.1	TBCD
ENST00000610761.1	MAPK8IP3
ENST00000598144.5	LINC01125
ENST00000459840.5	CRBN
ENST00000378785.6	ATAD3C
ENST00000478733.6	PHLDB2
ENST00000369780.8	NEURL1
ENST00000553393.5	FAM174B
ENST00000597618.5	TRIM28
ENST00000300093.8	PLK1
ENST00000606066.1	CTSA
ENST00000580946.1	MIR4535
ENST00000437010.5	CSNK2B
ENST00000562987.1	ERI2
ENST00000460259.1	NDUFV3
ENST00000426476.5	DNAJB14
ENST00000446373.1	DPY19L2P2
ENST00000363105.1	RN7SKP243
ENST00000467925.5	MTA3
ENST00000474427.6	SGK1
ENST00000589605.5	RDH13
ENST00000436431.1	SUMO2P1
ENST00000495824.1	PARVB
ENST00000629768.2	PYCR1
ENST00000369466.8	TTF2
ENST00000377944.7	IKZF3
ENST00000334510.9	SLC25A23
ENST00000589856.1	TMUB2
ENST00000402530.7	ANO7
ENST00000240185.7	TARDBP
ENST00000358657.7	SLC4A8
ENST00000511318.1	TOMM22P4
ENST00000237019.11	B4GALT6
ENST00000249016.4	MCHR1
ENST00000616538.4	NUMA1
ENST00000545781.2	HHAT
ENST00000379441.7	BAZ2A
ENST00000498338.1	PLA2G6
ENST00000374050.3	ATP6V1G1
ENST00000535054.1	STARD10
ENST00000429759.5	EMC3
ENST00000611198.4	TSC22D1
ENST00000516454.1	RNU6-659P
ENST00000264318.3	GABRA4
ENST00000459884.1	ALAS1
ENST00000384289.1	SNORA36C
ENST00000478226.5	CAV2
ENST00000518555.1	CYFIP2
ENST00000526518.1	KCNA4
ENST00000440943.5	NRDC
ENST00000584432.5	TMEM11
ENST00000355356.3	MIER1
ENST00000487028.1	TRMT1L
ENST00000464084.5	VARS2
ENST00000429029.6	DNAJB6
ENST00000560249.5	MEPE
ENST00000519465.5	PTK2
ENST00000255784.5	CCDC134
ENST00000251127.10	NALCN
ENST00000551051.5	RASAL1
ENST00000504572.5	NR3C1
ENST00000345734.7	ATG4A
ENST00000258947.7	CALCOCO2
ENST00000383237.4	LY6G5C
ENST00000386967.1	SNORD41
ENST00000457663.1	HLA-DOA
ENST00000456802.1	HMGN2P16
ENST00000450508.1	UHRF2
ENST00000430644.5	PCGF3
ENST00000637849.1	EFHC1
ENST00000249064.8	CCDC117
ENST00000485396.5	ARMC8
ENST00000493408.2	PLEKHH2
ENST00000533224.1	SGK1
ENST00000525273.5	DCST1
ENST00000541779.5	LPAR1
ENST00000508465.5	NUP54
ENST00000424694.5	PICK1
ENST00000524326.1	DECR1
ENST00000410600.1	MIR1468
ENST00000488506.5	FPGS
ENST00000371242.6	RAE1
ENST00000484327.1	C1orf168
ENST00000400320.5	DIAPH3
ENST00000466565.1	MBNL1
ENST00000513039.2	LINC02107
ENST00000639403.1	KIR2DL4
ENST00000551358.1	SENP1
ENST00000531046.1	LINC01016
ENST00000442481.5	PRAME
ENST00000368581.8	RSPH4A
ENST00000496017.1	ZDHHC4
ENST00000524776.5	DPH2
ENST00000613748.1	MIR7109
ENST00000464264.6	PPP1R1C
ENST00000555658.5	FOXN3
ENST00000598849.1	PHLDB3
ENST00000573169.1	NUP88
ENST00000522271.1	TRPA1
ENST00000598127.1	PAF1
ENST00000395548.6	AP3S1
ENST00000381653.9	NSFL1C
ENST00000033079.7	FAM13B
ENST00000488244.5	WDR46
ENST00000453647.1	OR2J4P
ENST00000624354.3	VCL
ENST00000429779.1	MAD1L1
ENST00000515681.1	ADCY2
ENST00000486498.1	GORASP2
ENST00000493083.5	GPBP1L1
ENST00000522953.5	NPM2
ENST00000382963.5	GYG2P1
ENST00000433871.5	CIDECP
ENST00000450375.5	PARL
ENST00000461115.5	IFT88
ENST00000420058.1	NFE4
ENST00000474829.1	CEP250
ENST00000373256.4	GLP1R
